Station Code,Station Name,Latitude,Longitude
PAULN,"Paulatuk, NT, CA",69.3475,-124.0703
PCLB,"Port Clements, BC, CA",53.7155,-132.5211
PFB,"Port Renfrew, BC, CA",48.5747,-124.4541
PGC,"Sidney, BC, CA",48.6498,-123.4521
PHC,"Port Hardy, BC, CA",50.7067,-127.433
PKLO,"Pickle Lake, ON, CA",51.4987,-90.3522
PLBC,"Pleasant Camp, BC, CA",59.455,-136.3659
PLSQ,"Plessisville, QC, CA",46.1063,-71.8202
PMAQ,"Port Menier Anticosti Is, QC, CA",49.8285,-64.3269
PMB,"Pemberton Meadow Bc, BC, CA",50.5188,-123.0765
PNPO,"Pukaskwa, ON, CA",48.5957,-86.2846
PNT,"Penticton, BC, CA",49.3224,-119.6254
POIN,"Pond Inlet, NU, CA",72.7012,-77.962
PTRF,"Port Renfrew PTRF, BC, CA",48.5442,-124.4131
QCQ,"Quebec City, QC, CA",46.7792,-71.2756
QEPB,"Queen Elizabeth Park, BC, CA",49.2419,-123.1141
RDLQ,"Riviere-du-Loup, QC, CA",47.8352,-69.5376
RES,"GLISN Station Resolute, Nunavut Territory, Canada",74.6892,-94.8962
RIGQ,"Rigaud, QC, CA",45.4469,-74.2581
RIMQ,"Rimouski, QC, CA",48.4449,-68.482
RISQ,"Rimouski, QC, CA",48.4533,-68.5127
ROUQ,"Riviere-Ouelle, QC, CA",47.4753,-69.9966
RUB,"Prince Rupert, BC, CA",54.3259,-130.2867
RUBB,"Prince Rupert, BC, CA",54.3262,-130.2523
SACHN,"Sachs Harbour, NT, CA",71.9871,-125.2472
SADO,"Sadowa, ON, CA",44.7695,-79.1411
SAKN,"Sanikiluaq, NU, CA",56.5359,-79.2324
SANQ,"St-Andre-du-Lac-St-Jean, QC, CA",48.3249,-71.9886
SBQ,"SHERBROOKE, QC, CA",45.3783,-71.9264
SCH,"Schefferville, QC, CA",54.8183,-66.7833
SCHQ,"Schefferville, QC, CA",54.8324,-66.8332
SELQ,"St-Eleuthere, QC, CA",47.4958,-69.362
SFA,"Sept-Chutes, QC, CA",47.124401,-70.826599
SGRQ,"St-Georges, QC, CA",46.1399,-70.5788
SHB,"Sechelt, BC, CA",49.5985,-123.8771
SHPB,"Sharp Point, BC, CA",49.3476,-126.2598
SILO,"Sutton Inlier, ON, CA",54.4792,-84.9126
SJNN,"St. Johns, NL, CA",47.5951,-52.678
SJUQ,"Ste-Julie, QC, CA",45.5621,-73.3233
SLBQ,"Ste-Lucie-de-Beauregard, QC, CA",46.7418,-70.016
SLEB,"Sale Mountain, BC, CA",51.1685,-118.1326
SMQ,"Ste-Marguerite, QC, CA",50.2225,-66.7025
SNB,"Saturna Island, BC, CA",48.7751,-123.1723
SNFQ,"Sainte-Felicite, QC, CA",48.888,-67.3511
SOLO,"Sioux Lookout, ON, CA",50.0215,-92.0808
STJA,"Cape St.James, BC, CA",51.9372,-131.0155
STJN,"St. Johns, NL, CA",47.5699,-52.7559
STPQ,"St-Pascal, QC, CA",47.5262,-69.8049
SUBO,"Sudbury, ON, CA",46.6115,-81.1321
SUNO,"Sudbury Onaping, ON, CA",46.6438,-81.3442
SURQ,"Ste-Clotilde, QC, CA",45.1675,-73.7081
SYMB,"Survey Mountain, BC, CA",48.5593,-123.7989
TAHB,"Tahsis, BC, CA",49.8925,-126.677
TBO,"Thunder Bay, ON, CA",48.6472,-89.4085
TIMO,"Timmins, ON, CA",48.4659,-81.3032
TKWB,"Talunkwan Haida Gwaii, BC, CA",52.8597,-131.7501
TOFB,"Tofino, BC, CA",49.1543,-125.9078
TRQ,"Mont-Tremblant, QC, CA",46.2175,-74.5514
TSUB,"Tasu, BC, CA",52.7551,-132.0415
TXB,"Texada Island, BC, CA",49.698,-124.4376
TXDB,"Texada, BC, CA",49.6979,-124.4377
UBRB,"Upper Baezaeko River, BC, CA",52.8918,-124.0832
ULM,"Lac Du Bonnet, MB, CA",50.2503,-95.875
VABQ,"Val Des Bois, QC, CA",45.9047,-75.6079
VDB,"Vedder Mountain, BC, CA",49.0261,-122.1028
VDBQ,"Val-Des-Bois, QC, CA",45.9277,-75.5697
VDEB,"Vedder Mountain, BC, CA",49.057,-122.0571
VDQ,"VAL-D'OR, QC, CA",48.23,-77.9717
VGZ,"Victoria Gonzales, BC, CA",48.4131,-123.3251
VIB,"Van Inlet, BC, CA",53.2522,-132.5406
VIMO,"Victor Mine, ON, CA",52.8173,-83.7449
VLDQ,"Val-dOr, QC, CA",48.1901,-77.7572
WALA,"Waterton Lake, AB, CA",49.0595,-113.9112
WBO,"Williamsburg, ON, CA",45.0012,-75.2753
WEO,"WELCOME, ON, CA",44.0186,-78.3744
WHY,"Whitehorse, YT, CA",60.6597,-134.8825
WOSB,"Woss, BC, CA",50.1608,-126.5704
WPB,"Watts Point, BC, CA",49.6478,-123.2094
WSLR,"Whistler, BC, CA",50.1266,-122.9212
YKAB0,"Yellowknife Blue 10, NT, CA",62.6059,-114.606
YKAB1,"Yellowknife Blue 1, NT, CA",62.4023,-114.6063
YKAB2,"Yellowknife Blue 2, NT, CA",62.4247,-114.6064
YKAB3,"Yellowknife Blue 3, NT, CA",62.4485,-114.6061
YKAB4,"Yellowknife Blue 4, NT, CA",62.4709,-114.6057
YKAB6,"Yellowknife Blue 6, NT, CA",62.5164,-114.6057
YKAB7,"Yellowknife Blue 7, NT, CA",62.5389,-114.6061
YKAB8,"Yellowknife Blue 8, NT, CA",62.5614,-114.6054
YKAB9,"Yellowknife Blue 9, NT, CA",62.5829,-114.6047
YKAR1,"Yellowknife Red 1, NT, CA",62.4928,-114.9445
YKAR2,"Yellowknife Red 2, NT, CA",62.4928,-114.8959
YKAR3,"Yellowknife Red 3, NT, CA",62.4929,-114.8477
YKAR4,"Yellowknife Red 4, NT, CA",62.4927,-114.7998
YKAR5,"Yellowknife Red 5, NT, CA",62.4931,-114.7504
YKAR6,"Yellowknife Red 6, NT, CA",62.4932,-114.7019
YKAR7,"Yellowknife Red 7, NT, CA",62.4932,-114.6544
YKAR8,"Yellowknife Red 8, NT, CA",62.4931,-114.6061
YKAR9,"Yellowknife Red 9, NT, CA",62.493,-114.5564
YKAW1,"Yellowknife White 1, NT, CA",62.4822,-114.4842
YKAW3,"Yellowknife White 3, NT, CA",62.5616,-114.6099
YKB0,"Yellowknife, NT, CA",62.6059,-114.606
YKB1,"Yellowknife, NT, CA",62.4023,-114.6063
YKB2,"Yellowknife, NT, CA",62.4247,-114.6063
YKB3,"Yellowknife, NT, CA",62.4485,-114.6061
YKB4,"Yellowknife, NT, CA",62.4709,-114.6058
YKB6,"Yellowknife, NT, CA",62.5164,-114.6057
YKB7,"Yellowknife, NT, CA",62.5389,-114.6061
YKB8,"Yellowknife, NT, CA",62.5615,-114.6055
YKB9,"Yellowknife, NT, CA",62.583,-114.6039
YKR1,"Yellowknife, NT, CA",62.4928,-114.9445
YKR2,"Yellowknife, NT, CA",62.4928,-114.8959
YKR3,"Yellowknife, NT, CA",62.4929,-114.8476
YKR4,"Yellowknife, NT, CA",62.4927,-114.7998
YKR5,"Yellowknife, NT, CA",62.4932,-114.7504
YKR6,"Yellowknife, NT, CA",62.4932,-114.702
YKR7,"Yellowknife, NT, CA",62.4932,-114.6544
YKR8,"Yellowknife, NT, CA",62.4931,-114.6062
YKR9,"Yellowknife, NT, CA",62.493,-114.5565
YKW1,"Yellowknife, NT, CA",62.4822,-114.4843
YKW2,"Yellowknife, NT, CA",62.4337,-114.6038
YKW3,"Yellowknife, NT, CA",62.5616,-114.6099
YKW4,"Yellowknife, NT, CA",62.4925,-114.7432
YKW5,"Yellowknife, NT, CA",62.4822,-114.4843
YOUB,"Youbou Lake Cowichan, BC, CA",48.901,-124.2618
YUK1,"Sand Pete Hill, YT, CA",62.1533,-140.5288
YUK2,"White River, YT, CA",61.7668,-140.8426
YUK3,"Moose Creek, YT, CA",61.7755,-140.4595
YUK4,"Talbot Arm, YT, CA",61.4348,-138.5463
YUK5,"Granite Creek, YT, CA",61.1315,-137.8593
YUK6,"Outpost Mountain, YT, CA",60.9432,-138.3626
YUK7,"Dusty Glacier, YT, CA",60.5307,-138.1399
YUK8,"Steele Glacier, YT, CA",61.2844,-139.7646
